continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status,company_age
Asia,High School,Y,Y,1411,West,75107.37,Year,Y,1,14
North America,Master's,Y,N,781,West,102403.56,Year,Y,1,11
Asia,High School,Y,N,958,South,89991.95,Year,Y,0,18
Asia,Master's,N,N,900,West,128104.61,Year,Y,1,61
Europe,High School,N,N,3533,West,12647.14,Year,Y,1,30
Asia,Master's,N,N,5752,West,91930.57,Year,Y,0,19
Asia,Bachelor's,Y,N,3481,South,99957.16,Year,Y,1,44
Europe,Bachelor's,Y,N,2998,South,13358.8,Year,Y,1,23
North America,Master's,Y,N,3377,Northeast,96158.48,Year,N,0,223
Europe,High School,N,N,341,Northeast,28157.58,Year,Y,0,25
Asia,Master's,Y,N,979,Northeast,59533.78,Year,Y,0,171
Asia,Master's,N,N,4409,Northeast,2192.78,Year,Y,1,160
Asia,Bachelor's,Y,N,1755,West,11430.98,Year,Y,0,144
Asia,Bachelor's,Y,N,413,Northeast,292.0788,Hour,Y,1,14
Asia,Master's,Y,N,3151,South,130611.92,Year,N,0,23
Asia,Bachelor's,Y,N,4655,Northeast,85403.46,Year,Y,0,10
Asia,Master's,Y,N,2935,Northeast,85458.48,Year,N,0,9
Oceania,Bachelor's,Y,N,3349,Northeast,95162.71,Year,Y,1,46
Asia,Master's,N,N,770,Northeast,127763.96,Year,Y,0,22
South America,Master's,N,N,990,South,122624.42,Year,Y,0,87
North America,Master's,Y,N,90320,Island,127248.19,Year,Y,0,186
Asia,High School,Y,N,2936,Midwest,106274.55,Year,Y,1,11
Asia,Master's,Y,N,233852,South,97196.37,Year,Y,0,151
North America,Master's,Y,N,833,Midwest,70573.43,Year,N,0,73
Europe,Bachelor's,Y,N,734,West,44179.02,Year,Y,0,142
Africa,Bachelor's,Y,N,324,Northeast,334.0798,Hour,Y,0,107
Oceania,Master's,Y,N,1747,Midwest,52132.3,Year,Y,0,25
Asia,Bachelor's,Y,Y,139221,West,58458.59,Year,Y,0,72
Europe,Master's,N,N,1559,West,12390.69,Year,Y,0,49
Asia,Doctorate,Y,N,4143,West,3827.62,Year,Y,0,92
Asia,High School,Y,N,3183,Island,65505.02,Year,Y,1,22
Asia,Bachelor's,N,N,2265,South,81492.52,Year,Y,0,22
Asia,Bachelor's,N,Y,190,South,112232.58,Year,Y,0,39
Asia,Master's,N,N,1250,Northeast,125470.03,Year,Y,0,25
Asia,High School,N,N,298,Midwest,229874.06,Year,Y,0,15
Asia,Bachelor's,Y,N,1536,Northeast,35335.48,Year,Y,0,19
Asia,Master's,N,N,3736,Northeast,90951.06,Year,Y,1,22
Asia,Bachelor's,Y,N,303,South,64238.39,Year,Y,0,25
South America,Doctorate,Y,N,3241,West,14362.91,Year,Y,0,11
Asia,Master's,N,N,3353,South,172098.04,Year,Y,0,44
Africa,Bachelor's,N,N,2512,Midwest,52.8519,Hour,Y,1,55
Asia,Bachelor's,Y,N,2223,South,117988.44,Year,Y,1,116
North America,Master's,Y,N,24951,West,3743.28,Year,Y,0,40
Europe,Master's,Y,N,2302,South,45329.68,Year,Y,0,18
Europe,Bachelor's,Y,N,1730,West,83986.72,Year,Y,0,13
Asia,Bachelor's,N,N,3414,Northeast,36686.03,Year,Y,0,20
Asia,Master's,Y,N,2320,Northeast,781.2903,Hour,Y,0,17
North America,Bachelor's,N,N,974,Northeast,173854.46,Year,N,1,67
North America,Master's,N,N,922,Midwest,309.606,Hour,Y,1,36
Asia,Master's,N,N,867,Midwest,142122.62,Year,Y,0,16
Oceania,High School,Y,N,3000,West,66173.63,Year,Y,0,15
North America,Master's,Y,N,3819,Northeast,86371.84,Year,Y,1,46
North America,Master's,Y,N,567,South,43688.68,Year,Y,0,22
Europe,Master's,Y,Y,255,West,127772.02,Year,Y,0,22
Asia,Master's,Y,N,506,South,80952.37,Year,Y,0,11
Asia,Doctorate,N,N,1415,Northeast,151152.74,Year,Y,0,15
Asia,Bachelor's,N,N,953,Northeast,66379.39,Year,N,1,185
North America,Bachelor's,N,N,2958,South,64913.28,Year,Y,1,18
Asia,Bachelor's,N,N,2566,Northeast,124581.3,Year,Y,1,174
South America,High School,N,N,518,Midwest,98771.74,Year,Y,0,22
Africa,Master's,Y,N,22952,West,71122.57,Year,Y,0,53
Asia,Master's,N,Y,836,South,68641.46,Year,Y,0,17
Asia,Bachelor's,Y,N,2961,Northeast,86613.17,Year,Y,0,77
Europe,Bachelor's,N,N,3110,West,128547.56,Year,Y,0,27
Asia,Bachelor's,N,N,3571,Midwest,60766.49,Year,Y,0,19
North America,Doctorate,N,N,4581,Northeast,26806.2,Year,Y,1,174
Asia,Master's,Y,N,405,Midwest,185591.66,Year,Y,0,17
Asia,Doctorate,Y,Y,1929,South,148048.43,Year,Y,0,11
Asia,Master's,N,N,4233,West,37763.22,Year,Y,0,166
Asia,Bachelor's,Y,N,1036,Northeast,116941.02,Year,N,1,56
North America,Master's,N,N,2205,West,49920.41,Year,Y,0,27
Asia,Bachelor's,N,N,996,Midwest,88775.9,Year,Y,1,25
Asia,High School,N,N,2505,Midwest,158427.09,Year,Y,0,61
Asia,Master's,Y,N,2349,West,139522.55,Year,Y,1,13
Asia,Master's,Y,N,2627,Midwest,78053.33,Year,Y,0,45
Asia,Master's,Y,Y,268,Northeast,908.937,Hour,Y,1,34
Asia,Master's,N,N,2207,Midwest,37273.97,Year,Y,0,16
Europe,Master's,Y,N,4143,West,67349.98,Year,Y,0,19
Europe,Master's,Y,Y,2089,West,72354.83,Year,Y,0,25
Asia,Bachelor's,Y,N,387,West,89679.18,Year,Y,0,25
Europe,Master's,Y,N,1767,South,38732.88,Year,Y,0,24
Asia,Bachelor's,N,N,1042,West,41821.55,Year,N,1,23
Asia,Bachelor's,N,N,3928,South,70871.72,Year,Y,1,30
Asia,Bachelor's,Y,N,452,Northeast,68427.15,Year,Y,0,36
Asia,High School,N,N,824,South,156710.51,Year,Y,0,26
North America,Bachelor's,N,N,2979,Northeast,86665.46,Year,N,1,25
Asia,High School,Y,N,2267,South,50043.22,Year,Y,1,22
Asia,Master's,N,N,1358,Northeast,105570.5,Year,N,0,23
Europe,Master's,N,Y,1156,West,98382.86,Year,Y,0,138
North America,High School,Y,N,238,South,141800.56,Year,Y,1,24
Asia,Master's,Y,N,623,Northeast,83980.34,Year,Y,0,30
Africa,High School,Y,N,902,Northeast,68955.42,Year,Y,0,18
Europe,High School,N,N,2991,Northeast,1114.02,Year,Y,1,16
North America,Bachelor's,Y,N,1540,Northeast,265168.9,Year,Y,0,42
Asia,Master's,Y,N,1308,Northeast,89567.66,Year,Y,0,61
Asia,High School,Y,N,619,South,47672.29,Year,Y,1,16
North America,Master's,Y,N,4050,Midwest,117023.33,Year,Y,0,30
Europe,Master's,Y,N,610,Northeast,529.5877,Hour,Y,0,33
Asia,Bachelor's,Y,N,5126,West,55554.8,Month,Y,1,20
Asia,Bachelor's,Y,N,2927,Midwest,181691.66,Year,Y,0,19
Asia,Doctorate,N,N,2624,Midwest,4949.28,Year,Y,0,11
Asia,Master's,Y,N,780,South,54233.53,Year,Y,0,25
Asia,Bachelor's,N,N,906,Midwest,6833.34,Year,Y,1,19
Asia,Bachelor's,Y,N,1967,South,123144.8,Year,Y,0,17
Asia,Bachelor's,Y,N,178,West,21890.62,Year,Y,0,16
Asia,Master's,Y,N,1832,West,82643.89,Year,Y,0,24
North America,Bachelor's,Y,N,3761,South,91132.02,Year,Y,0,17
Asia,Master's,Y,Y,2115,South,32131.51,Year,Y,0,25
Asia,Bachelor's,N,N,1760,South,94641.32,Year,Y,1,26
Europe,Doctorate,N,N,1402,West,75841.08,Year,Y,0,34
North America,Master's,Y,Y,34,West,29235.09,Year,Y,0,37
Asia,High School,N,N,1403,Midwest,302513.77,Year,N,0,22
North America,High School,Y,N,3063,Northeast,70586.26,Year,Y,0,25
Asia,Master's,N,N,1661,South,39911.16,Year,Y,0,12
Europe,Doctorate,N,N,2406,West,13008.4,Year,Y,0,13
Asia,Master's,Y,N,1890,West,70953.13,Year,N,1,21
Asia,Master's,N,N,1003,South,71414.91,Year,N,0,51
Africa,Bachelor's,Y,N,1368,Northeast,288.124,Hour,Y,1,60
Asia,Master's,Y,N,3826,Midwest,44680.62,Year,Y,0,20
Asia,Master's,Y,N,581,Midwest,62203.62,Year,Y,0,32
Asia,High School,Y,N,2725,Northeast,11.3078,Hour,Y,1,31
Asia,Master's,N,N,778,South,91609.35,Year,Y,0,14
Asia,Bachelor's,Y,N,1200,West,68347.05,Year,Y,0,53
Europe,High School,Y,N,1590,South,148224.7,Year,N,0,99
Asia,Master's,N,N,1508,South,61384.05,Year,Y,0,22
Asia,Master's,Y,N,1841,Northeast,14077.58,Year,Y,0,55
Europe,Doctorate,N,N,4916,Northeast,35335.49,Year,Y,0,22
North America,Master's,Y,N,3895,Northeast,20218.04,Year,Y,0,17
Europe,Doctorate,Y,Y,955,South,74323.45,Year,Y,0,30
Asia,Master's,Y,N,2260,South,39867.49,Year,Y,0,40
North America,Bachelor's,Y,N,2022,South,7298.65,Year,Y,0,16
Asia,Master's,Y,N,2434,South,145658.24,Year,N,0,30
Europe,Bachelor's,Y,N,2413,West,44629.62,Year,Y,0,31
Asia,Bachelor's,Y,N,2384,South,728.9416,Hour,Y,0,38
Asia,Master's,Y,N,3998,Midwest,91013.04,Year,Y,0,42
North America,High School,N,N,465,West,301.6979,Hour,Y,0,52
